manufacturer, model, hashrate mh/s
AMD, 6800 XT (TUF), 1400
AMD, RX 550, 79
AMD, RX 5700 XT, 617
AMD, RX 580, 517
AMD, RX 580, 535
AMD, RX 6600 XT, 1000
AMD, RX 7800 XT, 2200
AMD, Radeon 780M, 308
Intel, Arc A770 BiFrost, 1600
Intel, Arc A770 BiFrost, 1900
Intel, Arc A770 LE, 1600
Nvidia, GTX 1060, 347
Nvidia, GTX 1650, 320
Nvidia, GTX 1660 Super, 504
Nvidia, GTX 1660 Ti Max-Q, 450
Nvidia, GTX 1660 Ti, 450
Nvidia, GTX 1660 super, 507.5
Nvidia, Quadro M2000M, 111
Nvidia, Quadro RTX4000, 831
Nvidia, RTX 2060 Super, 526
Nvidia, RTX 2060 Super, 778
Nvidia, RTX 2060 Super, 825
Nvidia, RTX 2060, 642
Nvidia, RTX 2080 Super, 1200
Nvidia, RTX 2080 Super, 1500
Nvidia, RTX 3060 (3x), 1500
Nvidia, RTX 3060 Ti (2x), 1489
Nvidia, RTX 3060 Ti (2x), 1785
Nvidia, RTX 3060 Ti (2x), 1934.4
Nvidia, RTX 3060 Ti (ASUS Dual Mini), 915.2
Nvidia, RTX 3060 Ti Dual OC (ASUS), 1200
Nvidia, RTX 3060 Ti, 1000
Nvidia, RTX 3060 Ti, 1000
Nvidia, RTX 3060 Ti, 1100
Nvidia, RTX 3060 Ti, 1400
Nvidia, RTX 3060 Ti, 855
Nvidia, RTX 3060 Ti, 950
Nvidia, RTX 3060 Ti, 971
Nvidia, RTX 3060 Ti, 980
Nvidia, RTX 3060 Ti, 985.6
Nvidia, RTX 3060 Ti, 986
Nvidia, RTX 3060 XC (EVGA), 775
Nvidia, RTX 3060 XC (EVGA), 892
Nvidia, RTX 3060 XC (EVGA), 900
Nvidia, RTX 3060, 681
Nvidia, RTX 3070 (4x), 5200
Nvidia, RTX 3070 (MSI GAMING X TRIO), 420
Nvidia, RTX 3070, 1100
Nvidia, RTX 3070, 1300
Nvidia, RTX 3070, 1300
Nvidia, RTX 3080 (GIGABYTE), 1700
Nvidia, RTX 3080 (Xtreme Waterforce), 1500
Nvidia, RTX 3080 10GB, 1500
Nvidia, RTX 3080 10GB, 1600
Nvidia, RTX 3080, 1600
Nvidia, RTX 3080, 1700
Nvidia, RTX 3080, 1800
Nvidia, RTX 3080, 1900
Nvidia, RTX 3090 (5x), 5900
Nvidia, RTX 3090, 2000
Nvidia, RTX 3090, 2100
Nvidia, RTX 4000 SFF Ada, 1300
Nvidia, RTX 4070 Super (Asus Dual Fan), 2100
Nvidia, RTX 4070 Super, 2200
Nvidia, RTX 4070 Ti Super, 2700
Nvidia, RTX 4070 Ti, 2500
Nvidia, RTX 4070 Ti, 3000
Nvidia, RTX 4070, 1600
Nvidia, RTX 4070, 1800
Nvidia, RTX 4070, 1800
Nvidia, RTX 4070, 1900
Nvidia, RTX 4080 Super, 2600
Nvidia, RTX 4090, 2200
Nvidia, RTX 4090, 4100
Nvidia, RTX 4090, 4700
Nvidia, RTX 4090, 5000
Nvidia, RTX 4090, 5500
Nvidia, RTX A2000 (3x), 566
